1969,110000,北京市,50.63,4.71,33.6,31.53,2.07,12.32,2.15,5.07,0,0,0,0,9.3028,66.3638,24.3334,654,137.9,86.1,151.9,121.6
1968,110000,北京市,37.82,5.48,22.13,20.49,1.64,10.21,1.83,3.36,0,0,0,0,14.4897,58.514,26.9963,484,99.2,101.1,98.1,101.5
1967,110000,北京市,37.86,5.3,22.37,20.73,1.64,10.19,1.82,3,0,0,0,0,13.9989,59.0861,26.9149,488,88.1,99.5,84.7,93.9
1966,110000,北京市,44.41,5.24,28.41,26.31,2.1,10.76,2,3.17,0,0,0,0,11.7991,63.9721,24.2288,575,111,104.3,118.8,94.9
1965,110000,北京市,39.79,4.96,23.5,21,2.5,11.33,2.6,3.06,0,0,0,0,12.4654,59.0601,28.4745,516,116.4,106.1,118.1,116.5
1964,110000,北京市,35.99,4.83,20.96,18.95,2.01,10.2,1.96,3.13,0,0,0,0,13.4204,58.2384,28.3412,476,114.8,113.1,116.7,110.8
1963,110000,北京市,31.72,4.12,18.23,16.6,1.63,9.37,1.61,3,0,0,0,0,12.9887,57.4716,29.5397,431,105.9,109,109.7,97.6
1962,110000,北京市,29.59,3.74,16.3,14.83,1.47,9.55,1.94,2.83,0,0,0,0,12.6394,55.0862,32.2744,410,78.1,101.1,77.5,73.8
1961,110000,北京市,36.55,3.74,20.42,18.8,1.62,12.39,2.75,4.6,0,0,0,0,10.2326,55.8687,33.8988,503,59.4,91.3,52.8,70.1
1960,110000,北京市,57.47,4.01,37.03,33.57,3.46,16.43,4.21,6.51,0,0,0,0,6.9776,64.4336,28.5888,812,123.7,98.6,127.1,121.1
1959,110000,北京市,46.28,3.96,28.69,25.13,3.56,13.63,2,6.54,0,0,0,0,8.5566,61.9922,29.4512,703,138.7,101.7,145.2,135.1
1958,110000,北京市,34.52,3.93,20.35,17.32,3.03,10.24,1.52,4.25,0,0,0,0,11.3847,58.9513,29.664,552,107.6,99.7,118.2,91.6
1957,110000,北京市,32.81,3.49,15.68,12.4,3.28,13.64,1.86,5,0,0,0,0,10.637,47.7903,41.5727,539,125.4,114.2,137.9,114.8
1956,110000,北京市,26.83,3.32,11.39,8.67,2.72,12.12,1.71,5.1,0,0,0,0,12.3742,42.4525,45.1733,465,116.8,96.9,125.1,115.3
1955,110000,北京市,23.88,3.44,10.07,7.6,2.47,10.37,1.48,4.68,0,0,0,0,14.4054,42.1692,43.4255,436,113,116.4,108,117.4
1954,110000,北京市,21.13,3.01,9.31,6.85,2.46,8.81,1.24,3.83,0,0,0,0,14.2451,44.0606,41.6943,405,109.3,87.3,119,109.2
1953,110000,北京市,19.28,3.37,7.85,6.12,1.73,8.06,1.23,3.52,0,0,0,0,17.4793,40.7158,41.805,394,237.3,193.3,259.7,239.5
1952,110000,北京市,7.88,1.75,3.05,2.69,0.36,3.08,0.4,1.23,0,0,0,0,22.2081,38.7056,39.0863,170,102.1,99.2,107.8,98.7
2013,120000,天津市,14370.16,188.45,7276.68,6678.6,598.08,6905.03,725.05,1902.52,241.34,1202.04,519.37,2314.71,1.3,50.6,48.1,99607,112.5,103.7,112.7,112.5
2012,120000,天津市,12893.88,171.6,6663.82,6123.06,540.76,6058.46,683.56,1680.33,222.18,1001.59,449.65,2021.15,1.33,51.68,46.99,93173,113.8,103,115.2,112.6
2011,120000,天津市,11307.28,159.72,5928.32,5430.84,497.48,5219.24,632.1,1463.89,194.52,756.5,411.46,1760.77,1.4,52.4,46.2,85213,116.4,103.8,118.3,114.7
2010,120000,天津市,9224.46,145.58,4840.23,4410.85,429.38,4238.65,585.37,1090.68,157.66,572.99,377.59,1454.36,1.6,52.5,46,72994,117.4,103.3,120.2,114.2
2009,120000,天津市,7521.85,128.85,3987.84,3622.11,365.73,3405.16,471.01,836.84,131.84,461.2,308.73,1195.54,1.7,53,45.3,62574,116.5,103.4,118,115.2
2008,120000,天津市,6719.01,122.58,3821.07,3533.86,287.21,2410.73,320.63,604.64,106.09,360.55,202.38,816.44,1.9,60.1,37.9,55473,116.5,103.1,118.2,114.7
2007,120000,天津市,5252.76,110.19,2892.53,2661.87,230.66,2047.68,294.06,498.61,92.61,288.17,189.42,684.81,2.2,57.3,40.5,46122,115.5,101.4,116.5,114.2892
2006,120000,天津市,4462.74,118.23,2488.29,2292.73,195.56,1752.63,252.86,468.12,79.41,186.87,160.72,604.65,2.7,57.1,40.2,41163,114.7,103.3,117.7,111.1
2005,120000,天津市,3905.64,112.38,2051.17,1885.04,166.13,1534.07,227.16,436.14,70.15,159.24,128.77,512.61,3,55.5,41.5,35783.1885,114.9,104.2615,117.6153,111.6564
2004,120000,天津市,3110.97,102.29,1560.16,1436.73,123.43,1269.43,285.05,242.07,0,129.72,146.51,466.08,3.4889,53.2136,43.2975,31550,115.8,105.1375,119.803,111.6892
2003,120000,天津市,2578.03,89.66,1245.29,1136.24,109.05,1112.71,244.48,358.23,0,112.79,125.43,344.77,3.6,50.8768,45.4602,26532.0369,114.8,106.1023,118.0328,111.9
2002,120000,天津市,2150.76,84,1001.9,909.24,92.66,965.26,230.88,311.2,0,76.86,97.66,307.01,4.1,48.85,47.06,22380,112.6663,106.1,114.3,111.4
2001,120000,天津市,1919.09,78.55,904.64,821.18,83.46,856.91,203.98,269.76,0,66.52,85.61,277.18,4.2688,49.1625,46.5687,20154.4359,112.0238,106.2823,112.8388,111.7
2000,120000,天津市,1639.36,73.54,820.17,747.28,72.89,745.65,178.83,229.16,0,58.44,69.35,245.3,4.4859,50.0299,45.4842,17993.195,110.7667,103.6816,111.48,110.5
1999,120000,天津市,1450.06,71.01,711.93,640.21,71.72,667.12,155.82,200.04,0,58.64,47.23,214.56,4.897,49.0966,46.0064,15976.334,110,100.0957,111.7061,108.9
1998,120000,天津市,1336.38,74.03,660,587.83,72.17,602.35,133.16,170.47,0,63.48,114.88,196.42,5.5,49.4,45.1,14243,109.3,106.7,107.4,113
1997,120000,天津市,1235.28,74.55,643.88,580.21,63.67,521.97,113.63,137.25,0,68.4,34.25,168.6,6,51.9,42.1,13796,112.1,107.7,111.7,113.4
1996,120000,天津市,1102.4,70.53,584.43,527.07,57.36,447.44,98.91,119.47,0,62.74,23.48,139.75,6.0316,54.2904,39.6781,11734,114.3,108.2,114.3,115.4
1995,120000,天津市,920.11,60.8,518.55,467.93,50.62,352.62,86.85,91.08,0,49.16,15.19,110.34,6.5238,55.6402,37.836,9769,114.9,106.3,114.1,117.9
1994,120000,天津市,833.6,46.53,404.08,361.27,42.81,274.53,66.55,72.63,0,34.53,11.05,86.08,23.5,45.2,31.3,7751,114.3,105.3,114.7,115.6
1993,120000,天津市,536.1,35.4,308.4,280.73,27.67,195.14,48,54.26,0,27.31,8.91,56.66,6.6014,56.4223,36.9763,5800,112.1,107.4,112.9,111.7
1992,120000,天津市,411.24,30.26,233.41,212.8,20.61,147.37,35.96,41.51,0,22.91,6.29,40.7,7.3582,56.0767,36.565,4481,111.7,100.7,111.5,107.5
1991,120000,天津市,342.75,29.26,196.6,179.75,16.85,116.79,27.34,27.94,0,20.65,5.47,35.39,8.5368,56.7206,34.7425,3777,106,103.4,105.5,116.4
1990,120000,天津市,310.95,27.32,181.38,165.59,15.79,102.25,30.47,16,0,20.34,5.06,30.38,0,0,0,3487,105.4,104.6,101.1,109.3
1989,120000,天津市,283.49,26.85,177.54,160.73,16.81,79.1,21.44,14.38,0,18.26,3.07,21.95,9.4712,62.6265,27.9022,3261,101.6,111.4,98.1,100.4
1988,120000,天津市,259.71,26.21,160.96,146.73,14.23,72.54,16.71,21.72,0,13.62,3.23,17.26,10.092,61.9768,27.9312,3035,105.8,107.7,107.7,106.3
1987,120000,天津市,220.12,19.63,138.02,125.05,12.97,62.47,14.54,20.51,0,11.13,1.83,14.46,8.9179,62.7022,28.38,2621,107.6,106,108.3,106
1986,120000,天津市,194.74,16.51,123.33,111.9,11.43,54.9,13.96,17.51,0,7.73,1.83,13.87,8.478,63.3306,28.1914,2352,105.8,108,105.5,108.8
1985,120000,天津市,175.78,12.95,114.92,104.8,10.12,47.91,11.74,15.73,0,7.26,1.65,11.53,7.3672,65.3772,27.2557,2169,110.6,121.1,110.5,125.9
1984,120000,天津市,147.53,11.13,96.47,87.97,8.5,39.93,11.64,14.68,0,4.72,0.85,8.04,7.5442,65.3901,27.0657,1853,119.3,122.8,116.6,114.8
1983,120000,天津市,123.42,7.6,84.47,76.69,7.78,31.35,7.6,8.93,0,1.34,0,13.48,6.1578,68.4411,25.4011,1555,108.3,109.2,106,105.3
1982,120000,天津市,114.11,7,79.86,72.3,7.56,27.25,6.61,7.26,0,0.66,0,12.72,6.1344,69.9851,23.8805,1469,104.3,112.9,103.5,104.8
1981,120000,天津市,107.96,5.18,76.97,71.06,5.91,25.81,6.71,8.54,0,0.52,0,10.04,4.7981,71.2949,23.907,1458,104.8,79.1,107,108.7
1980,120000,天津市,103.53,6.53,72.56,67.48,5.08,24.44,6.37,7.13,0,0.72,0,10.22,6.3074,70.086,23.6067,1357,110,99.8,111.4,107
1979,120000,天津市,93.01,6.54,64.82,61.01,3.81,21.65,5.51,7.42,0,0.14,0,8.58,7.0315,69.6914,23.2771,1241,110,117.4,110.4,116
1978,120000,天津市,82.65,5.03,57.53,54.39,3.14,20.09,4.79,6.95,0,0.13,0,8.22,6.0859,69.6068,24.3073,1133,120.9,115.6,123.3,109.5
1977,120000,天津市,67.73,3.56,46.97,44.81,2.16,17.2,3.17,6.77,0,0,0,0,5.2562,69.3489,25.395,961,103.6,88.2,103.2,109.5
1976,120000,天津市,65.25,4.01,45.57,43.84,1.73,15.67,2.77,5.97,0,0,0,0,6.1456,69.8391,24.0153,928,94.1,91.7,91.2,104
1975,120000,天津市,69.73,4.37,50.29,47.73,2.56,15.07,2.6,5.83,0,0,0,0,6.267,72.121,21.6119,1011,104.3,91.9,107.4,99.9
1974,120000,天津市,66.69,4.79,46.81,44.52,2.29,15.09,2.66,5.99,0,0,0,0,7.1825,70.1904,22.6271,977,110.5,119.7,110,109
1973,120000,天津市,60.33,3.92,42.51,40.68,1.83,13.9,2.55,5.54,0,0,0,0,6.4976,70.4625,23.0399,893,107.8,117.3,105.5,111.7
1972,120000,天津市,56.37,3.46,40.53,38.95,1.58,12.38,2.27,4.84,0,0,0,0,6.138,71.8999,21.962,849,104.3,87.3,106.1,105.7
1971,120000,天津市,55.12,3.89,39.52,38.33,1.19,11.71,2.1,4.35,0,0,0,0,7.0573,71.6981,21.2446,843,109,100.7,112.5,102.7
1970,120000,天津市,50.99,3.8,35.8,35.08,0.72,11.39,1.94,4.39,0,0,0,0,7.4524,70.2098,22.3377,791,117.5,109.3,121.2,111.5
1969,120000,天津市,42.87,3.46,29.03,28.39,0.64,10.38,1.4,3.98,0,0,0,0,8.0709,67.7164,24.2127,661,122.6,95.7,138.5,104.1
1968,120000,天津市,34.77,3.6,21.26,20.64,0.62,9.91,1.19,3.8,0,0,0,0,10.3538,61.1447,28.5016,535,107.9,103,109.1,108.1
1967,120000,天津市,33.62,3.5,20.93,20.3,0.63,9.19,1.2,3.93,0,0,0,0,10.4105,62.2546,27.3349,524,87.9,127.7,78.7,94.9
1966,120000,天津市,39.31,2.69,26.87,26.17,0.7,9.75,1.38,4.14,0,0,0,0,6.843,68.3541,24.8028,618,106.2,68.7,115.1,108
1965,120000,天津市,35.96,3.91,22.96,22.34,0.62,9.09,1.23,4.1,0,0,0,0,10.8732,63.8487,25.2781,571,121.5,169.4,115.9,115.4
1964,120000,天津市,30.59,2.3,20.08,19.28,0.8,8.21,1.16,3.58,0,0,0,0,7.5188,65.6424,26.8388,494,115.9,102.3,126.8,102
1963,120000,天津市,26.65,2.27,16.2,15.63,0.57,8.18,1.01,3.47,0,0,0,0,8.5178,60.788,30.6942,442,109,102.8,115.6,101.1
1962,120000,天津市,24.25,2.12,14.08,13.69,0.39,8.05,1.17,2.77,0,0,0,0,8.7423,58.0619,33.1959,414,85.5,85,87,83.5
1961,120000,天津市,28.41,2.52,16.56,15.98,0.58,9.33,1.09,3.58,0,0,0,0,8.8701,58.2893,32.8405,489,64.1,93.9,51.8,83.5
1960,120000,天津市,42.66,2.65,29.65,28.46,1.19,10.36,1.6,3.84,0,0,0,0,6.2119,69.503,24.285,746,103.3,94.5,102.2,109.4
1959,120000,天津市,41.25,2.8,29.1,28.08,1.02,9.35,1.4,4.05,0,0,0,0,6.7879,70.5455,22.6667,744,124.4,122.4,128.1,116.5
1958,120000,天津市,32.49,2.28,22.21,21.34,0.87,8,1.08,3.98,0,0,0,0,7.0175,68.3595,24.623,607,129.8,93.5,163.6,97.2
1957,120000,天津市,24.11,2.49,13.28,12.86,0.42,8.34,1.08,4.92,0,0,0,0,10.3277,55.0809,34.5915,468,113.5,108.3,119.2,108.3
1956,120000,天津市,20.7,2.26,10.83,10.54,0.29,7.61,1.02,4.6,0,0,0,0,10.9179,52.3188,36.7633,419,123.6,97.8,124.2,136.4
1955,120000,天津市,17.12,2.35,9.16,8.89,0.27,5.61,0.75,3.03,0,0,0,0,13.7266,53.5047,32.7687,357,102.5,131.6,104.7,89.4
1954,120000,天津市,16.98,1.79,8.93,8.51,0.42,6.26,0.78,3.85,0,0,0,0,10.5418,52.5913,36.8669,364,95.3,101.9,105.8,83.6
1953,120000,天津市,17.58,1.76,8.49,8.18,0.31,7.33,0.74,5.26,0,0,0,0,10.0114,48.2935,41.6951,393,133.4,96.6,135.6,147.8
1952,120000,天津市,12.8,1.85,6.31,6.12,0.19,4.64,0.61,3.04,0,0,0,0,14.4531,49.2969,36.25,299,112.2,112.4,104.4,121.1
2013,130000,河北省,28301.41,3500.42,14762.1,13194.76,1567.34,10038.89,2377.59,2163.95,415.18,1033.55,1041.28,3007.34,12.4,52.2,35.5,38716,108.2,103.5,109,108.4
2012,130000,河北省,26575.01,3186.66,14003.57,12511.6,1491.97,9384.78,2212.93,2024.29,388.87,913.66,982.05,2862.98,11.99,52.69,35.31,36584,109.6,104,111.5,108.6
2011,130000,河北省,24515.76,2905.73,13126.86,11770.38,1356.48,8483.17,2046.22,1780.63,338.91,746.01,918.02,2653.38,11.9,53.5,34.6,33969,111.3,104.2,113.4,110.5
2010,130000,河北省,20394.26,2562.81,10707.68,9554.03,1153.65,7123.77,1745.91,1529.26,265.02,615.42,697.79,2270.37,12.6,52.5,34.9,28668,112.2,103.5,113.4,113.1
2009,130000,河北省,17235.48,2207.34,8959.83,7983.86,975.97,6068.31,1491.92,1157.8,247.14,525.67,612.4,2033.38,12.8,52,35.2,24581,110,103.3,110.5,111.4
2008,130000,河北省,16011.97,2034.6,8777.42,7967.62,809.8,5376.59,1281.27,844.94,147.82,419.01,435.87,2247.68,12.6,54.2,33.2,23239,110.1,104.9,110.5,111.1
2007,130000,河北省,13607.32,1804.72,7241.8,6555.24,686.56,4662.98,1161.63,714.84,132.55,353.22,409.64,1891.1,13.2,52.8,34,19877,112.8,104,114.1,114.1
2006,130000,河北省,11467.6,1606.48,6115.01,5490.54,624.47,3938.94,971.5,661.21,121.96,279.72,354.6,1549.95,13.8,52.4,33.8,16962,113.4,105,115.1,114.3
2005,130000,河北省,10012.11,1503.07,5232.5,4665.21,567.29,3360.54,702,598.56,115.22,211.17,291.51,1442.08,14.9,51.8,33.3,14782.2597,113.4,106.2,115.4374,113.2166
2004,130000,河北省,8477.63,1370.4,4635.23,4086.43,548.8,2763.16,724.34,689.24,0,231.59,154.38,963.61,15.6282,52.8605,31.5113,12918,112.9,106.7401,114.1879,112.4539
2003,130000,河北省,6921.29,1064.33,3657.19,3212.96,444.23,2377.04,611.96,557.34,0,199.87,136.85,888.2,14.9936,51.5202,33.4862,10513.239,111.6,106.1,114.3,110
2002,130000,河北省,6018.28,957.01,3046,2695.69,350.31,2119.52,554.91,521.81,0,179.6,115.16,754.27,15.6,49.8,34.6,9115,109.6494,105.4,110.6,110.2
2001,130000,河北省,5516.76,913.9,2767.41,2439.56,327.85,1896.47,498.81,488.61,0,167.29,106.8,634.25,16.4,49.6,34,8362,108.6988,105.3,108.3,111
2000,130000,河北省,5088.96,824.55,2559.96,2246.73,313.23,1704.45,415.79,459,0,183.77,99.53,546.36,16.2027,50.3042,33.4931,7662.7577,109.4704,105.0508,110.1061,110.4
1999,130000,河北省,4569.19,805.97,2243.59,1950.21,293.38,1519.63,359.85,411.54,0,199.4,85.71,463.13,17.6392,49.1026,33.2582,6931.9637,109.1,104.325,110.5837,109
1998,130000,河北省,4256.01,790.6,2084.33,1822.05,262.28,1381.08,313.4,386.96,0,204.22,204.22,399.39,18.6,49,32.5,6501,110.7,106.2,112.2,110.6
1997,130000,河北省,3953.78,761.76,1934.38,1701.42,232.96,1257.64,276.61,355.8,0,202.98,68.31,353.94,19.3,48.9,31.8,6079,112.5,105.4,114.9,112.5
1996,130000,河北省,3452.97,700.94,1664.61,1463.18,201.43,1087.42,225.65,307.23,0,197.95,54.9,301.69,20.2996,48.2081,31.4923,5345,113.5,105.5,116.6,113
1995,130000,河北省,2849.52,631.34,1322.77,1150.49,172.28,895.41,179.41,261.69,0,166.51,46.07,241.73,22.156,46.4208,31.4232,4444,113.9,108.6,115.4,114.6
1994,130000,河北省,2187.49,451.91,1053.12,926.36,126.76,682.46,126.94,205.75,0,128.22,41.23,180.32,20.6588,48.1428,31.1983,3439,114.9,111.8,116.9,113.7
1993,130000,河北省,1690.84,301.68,847.92,758.1,89.82,541.24,115.34,161.88,0,90.96,35.21,137.85,17.842,50.1479,32.0101,2682,117.7,104.4,124.6,116.6
1992,130000,河北省,1278.5,257.08,573.15,517.75,55.4,448.27,93.85,130.37,0,79.8,25.44,118.81,20.1079,44.8299,35.0622,2040,115.6,99.4,120.7,121.4
1991,130000,河北省,1072.07,236.89,459.91,417.17,42.74,375.27,79.35,109.11,0,63.48,22.84,100.49,22.0965,42.8993,35.0042,1727,111,102.5,110,120.8
1990,130000,河北省,896.33,227.89,387.52,354.26,33.26,280.92,46.43,56.98,0,70.58,21.69,85.24,25.4248,43.2341,31.3411,1465,105.8,105.7,104,109
1989,130000,河北省,822.83,196.35,374.92,338.79,36.13,251.56,41.5,56.75,0,55.51,18.66,79.14,23.8628,45.5647,30.5725,1409,106.1,103.7,105.4,109.7
1988,130000,河北省,701.33,162.31,323.4,289.22,34.18,215.62,34.08,54.36,0,43.37,16.28,67.53,23.1432,46.1124,30.7444,1219,113.5,101.1,116.9,120.1
1987,130000,河北省,521.92,137.66,255.97,231.43,24.54,128.29,24.03,29.06,0,22.22,12.06,40.92,26.3757,49.0439,24.5804,921,111.6,101.6,114.9,117.3
1986,130000,河北省,436.65,123.45,207.28,185.48,21.8,105.92,19.32,25.74,0,17.02,10.33,33.51,28.2721,47.4705,24.2574,782,105.1,97.4,108,109.8
1985,130000,河北省,396.75,120.34,184.26,164.27,19.99,92.15,16.91,22.22,0,13.89,8.85,30.28,30.3314,46.4423,23.2262,719,112.5,102.2,118.2,117.5
1984,130000,河北省,332.22,111.46,145.84,129.83,16.01,74.92,14.97,17.95,0,10.9,5.9,25.2,33.5501,43.8986,22.5513,609,114.4,108,122.8,110
1983,130000,河北省,283.21,102.1,114.89,101.95,12.94,66.22,13.71,15.18,0,9.01,5.72,22.6,36.051,40.5671,23.3819,526,111.5,118.7,105.3,112.2
1982,130000,河北省,251.45,85.59,107.83,95.33,12.5,58.03,12.51,12.03,0,7.61,5.15,20.73,34.0386,42.8833,23.0781,474,111.8,119.5,103.2,118.7
1981,130000,河北省,222.54,71.03,103.15,92.34,10.81,48.36,10.87,10.86,0,3.84,4,18.79,31.9179,46.3512,21.7309,427,101,105.3,96.5,105
1980,130000,河北省,219.24,68.09,105.88,94.08,11.8,45.27,10.71,9.85,0,4.19,4.81,15.71,31.0573,48.2941,20.6486,427,103.2,97.4,102.4,112.5
1979,130000,河北省,203.22,61.11,101.76,89.69,12.07,40.35,10.86,8.36,0,3.31,4.03,13.79,30.0709,50.0738,19.8553,400,106.2,104.2,107.8,104.9
